id,buzzword,car,city,creditcard,app_version,country,lat,lon,title
1,Visionary,Ford,Cleveland,jcb,3.9.2,United States,41.451118,-81.6309078,Clinical Specialist
2,time-frame,Buick,Xai-Xai,switch,0.80,Mozambique,-25.060476,33.6958809,Help Desk Operator
3,Enhanced,Mercedes-Benz,Wucun,mastercard,1.7,China,30.592849,114.305539,VP Product Management
4,projection,Toyota,Gorbunki,diners-club-enroute,1.6.9,Russia,59.8095749,29.9755395,Nurse Practicioner
5,object-oriented,Porsche,Saint-Dizier,visa,4.56,France,48.65639,4.912419,Sales Representative
6,Exclusive,Bentley,Trondheim,mastercard,9.6,Norway,63.4107694,10.3996452,Information Systems Manager
7,adapter,Mitsubishi,Seaton,jcb,0.5.7,United Kingdom,52.574095,-0.672296,Actuary
8,4th generation,Volvo,Lidingö,mastercard,3.3,Sweden,59.37407,18.1203419,VP Marketing
9,tertiary,Audi,Rumboci,jcb,4.2.4,Bosnia and Herzegovina,43.8313297,17.503469,Engineer III
10,neutral,Hyundai,Nikki,visa-electron,9.7,Benin,9.936763,3.2131232,VP Marketing
11,contingency,Pontiac,Macapá,mastercard,3.3,Brazil,0.0208039,-51.0678473,Administrative Officer
12,Expanded,Buick,Camacha,instapayment,0.2.2,Portugal,32.679852,-16.8502879,Senior Financial Analyst
13,extranet,Mitsubishi,Barili,jcb,0.46,Philippines,10.122667,123.540401,Project Manager
14,multi-state,Jeep,Houxixi,jcb,4.8,China,23.753512,117.128562,Accountant IV
15,Switchable,Maserati,Lianfa,jcb,6.95,China,32.5483419,120.4520149,Human Resources Assistant IV
16,24/7,Ram,Gazimurskiy Zavod,mastercard,4.2,Russia,51.55352,118.3446,Environmental Specialist
17,uniform,Land Rover,La Palma,jcb,0.50,Panama,8.2853585,-78.1792434,Senior Quality Engineer
18,Function-based,Audi,Kefar Shemaryahu,jcb,1.2,Israel,32.187123,34.823124,Dental Hygienist
19,exuding,Nissan,Wenchun,visa-electron,4.2.1,China,44.439233,129.500041,Information Systems Manager
20,concept,Ford,Dualing,diners-club-enroute,9.88,Philippines,7.1220009,124.5600318,Actuary
21,Diverse,Chevrolet,Can-asujan,instapayment,4.1,Philippines,10.1253323,123.6666432,Paralegal
22,solution,GMC,Cuyotenango,jcb,0.16,Guatemala,14.540627,-91.570932,Health Coach III
23,software,Land Rover,Eystur,jcb,3.22,Faroe Islands,62.20907,-6.75247,Analog Circuit Design manager
24,moderator,Mazda,Puerta de Corral Quemado,mastercard,0.33,Argentina,-34.6255137,-58.4322185,Physical Therapy Assistant
25,Stand-alone,Dodge,Plandirejo,jcb,0.55,Indonesia,-8.2795949,112.0327329,Dental Hygienist
26,Upgradable,BMW,Xiangyun,diners-club-carte-blanche,1.89,China,25.48385,100.550945,Cost Accountant
27,asynchronous,Volkswagen,Tumauini,jcb,3.2,Philippines,17.263531,121.834345,Executive Secretary
28,zero defect,Volkswagen,Akim Swedru,jcb,9.4.5,Ghana,5.8925146,-1.0155385,Geological Engineer
29,object-oriented,Hyundai,Paraćin,jcb,6.5,Serbia,43.858616,21.403911,Executive Secretary
30,contingency,Plymouth,Lahat,jcb,7.99,Indonesia,-3.8008893,103.3587288,Clinical Specialist
31,hardware,Mercedes-Benz,Santa Quitéria do Maranhão,jcb,2.5,Brazil,-3.2826576,-42.941698,Sales Associate
32,interactive,Nissan,Morales,diners-club-carte-blanche,1.08,Colombia,8.27533,-73.868176,Help Desk Technician
33,secondary,Toyota,Zaliznychne,jcb,8.9.8,Ukraine,47.6479788,36.164764,Human Resources Assistant I
34,User-centric,Mazda,Dobroměřice,switch,7.3,Czech Republic,50.3700968,13.794744,Food Chemist
35,knowledge user,Mitsubishi,Stara Błotnica,jcb,0.22,Poland,51.5429846,21.0004876,Product Engineer
36,context-sensitive,Volvo,Mysove,americanexpress,8.5,Ukraine,45.4451601,35.8363269,Paralegal
37,Front-line,Lotus,Luoping,visa-electron,4.9,China,24.884626,104.308675,Cost Accountant
38,Optimized,Chevrolet,Ödeshög,jcb,4.3,Sweden,58.1484742,14.7352235,Electrical Engineer
39,background,Ford,Guanyinsi,instapayment,0.5.1,China,33.083093,120.185095,Social Worker
40,pricing structure,Mazda,Fortios,jcb,0.57,Portugal,39.3195065,-7.4906959,VP Product Management
41,even-keeled,Honda,Williamsfield,laser,6.59,Jamaica,18.0651384,-77.4658948,Budget/Accounting Analyst III
42,Ameliorated,Volkswagen,Chadian,mastercard,0.4.7,China,30.694308,104.012972,Legal Assistant
43,bifurcated,Ford,Cannes,jcb,9.2,France,43.5418913,7.0362389,Professor
44,hierarchy,Kia,Tegarenkrajan,jcb,0.32,Indonesia,-8.0244,111.6441,Mechanical Systems Engineer
45,exuding,Mazda,Barda,jcb,2.9.5,Azerbaijan,40.3706555,47.1378909,Payment Adjustment Coordinator
46,multi-tasking,Honda,Zhongben,jcb,0.3.2,China,24.983953,101.527027,Human Resources Manager
47,demand-driven,Dodge,Modot,jcb,1.84,Mongolia,47.7406999,109.032501,Software Test Engineer I
48,collaboration,Nissan,Artybash,americanexpress,0.1.6,Russia,51.791159,87.2508267,Research Nurse
49,Phased,Buick,Doksy,americanexpress,0.7.0,Czech Republic,50.5658445,14.6542767,Editor
50,Multi-lateral,Toyota,Oslo,switch,0.61,Norway,59.9152119,10.6341605,Senior Financial Analyst
51,Seamless,Subaru,Benito Juarez,maestro,6.2.5,Mexico,19.4102526,-99.0073673,Statistician III
52,Balanced,Buick,Sihai,jcb,0.8.8,China,39.6288756,-8.6708785,Social Worker
53,local,Mitsubishi,Ōhara,maestro,0.6.5,Japan,35.6704666,139.6596071,Database Administrator IV
54,flexibility,Ford,Sahavato,mastercard,1.2,Madagascar,-20.6,48.33333,Health Coach IV
55,fresh-thinking,Suzuki,Minas de Oro,mastercard,7.52,Honduras,14.7980871,-87.3388767,Health Coach II
56,alliance,Audi,Mamanguape,jcb,0.68,Brazil,-6.6835129,-35.148879,Assistant Manager
57,contextually-based,Ford,Al Madān,jcb,8.2.9,Yemen,16.22413,43.64383,Professor
58,User-centric,Acura,Douala,jcb,0.27,Cameroon,4.0510564,9.7678687,Environmental Tech
59,leverage,BMW,Lela,diners-club-carte-blanche,5.0.9,Indonesia,-8.7377882,122.2171695,Automation Specialist IV
60,infrastructure,Mitsubishi,Cikuya,jcb,7.9,Indonesia,-7.633333,108.366667,Data Coordiator
61,Up-sized,Hyundai,Xiaogang,mastercard,8.04,China,31.070643,113.943274,Dental Hygienist
62,content-based,BMW,L’govskiy,laser,0.35,Russia,51.6553959,35.2572553,Structural Analysis Engineer
63,Integrated,Audi,Jinzipai,jcb,8.92,China,29.530868,116.531035,General Manager
64,foreground,Land Rover,Almeria,americanexpress,0.7.2,Spain,36.8414494,-2.4567059,VP Sales
65,Reduced,Maserati,Reforma,diners-club-enroute,5.9.6,Mexico,17.8579334,-93.1548091,Food Chemist
66,scalable,Maybach,Battung,mastercard,2.05,Philippines,16.7551121,121.7483586,Research Assistant IV
67,implementation,Bentley,Milán,mastercard,1.52,Colombia,1.33546,-75.51081,Civil Engineer
68,Open-architected,GMC,Tchaourou,visa-electron,0.7.1,Benin,8.8879709,2.5941239,Help Desk Technician
69,heuristic,Infiniti,Dzüünkharaa,china-unionpay,7.3.9,Mongolia,48.63333,106.73333,Paralegal
70,middleware,Ford,Qiaoshi,jcb,7.9,China,26.693697,115.313327,VP Product Management
71,Team-oriented,Cadillac,Guarapari,jcb,0.80,Brazil,-20.6741197,-40.4997382,Assistant Media Planner
72,infrastructure,Dodge,Lille,bankcard,3.9,France,50.6091631,3.2344605,Recruiting Manager
73,secured line,Audi,Tomé,jcb,0.3.1,Chile,-36.6131562,-72.9588593,Systems Administrator IV
74,complexity,Audi,Mapou,jcb,1.16,Mauritius,-20.0722773,57.6184076,Executive Secretary
75,asynchronous,Lexus,Itsandzéni,maestro,8.41,Comoros,-11.4749128,43.394005,Accounting Assistant I
76,Streamlined,Cadillac,Tutul,bankcard,0.1.0,Indonesia,-8.2831649,113.5103504,Help Desk Technician
77,Integrated,Volvo,Huili Chengguanzhen,visa-electron,0.7.2,China,26.662155,102.242653,Quality Control Specialist
78,motivating,Chevrolet,Mekarsari,jcb,0.55,Indonesia,-8.3765619,115.1918802,Executive Secretary
79,hierarchy,Lincoln,Mahaddayweyne,switch,1.09,Somalia,2.9716241,45.5334515,Operator
80,framework,Pontiac,Adtugan,jcb,7.03,Philippines,7.81194,124.85444,Programmer Analyst III
81,methodical,Honda,Ierápetra,diners-club-enroute,0.25,Greece,35.0118955,25.7407452,GIS Technical Architect
82,open architecture,Subaru,Kafyr-Kumukh,jcb,1.7.5,Russia,42.854367,47.188097,Financial Analyst
83,client-server,Ferrari,Kumbo,mastercard,4.28,Cameroon,6.2244851,10.6759772,Speech Pathologist
84,Organized,Saturn,Anyar,instapayment,6.64,Indonesia,-6.0924606,105.9112424,Senior Financial Analyst
85,groupware,Lexus,Cambita Garabitos,jcb,4.7,Dominican Republic,18.455503,-70.202889,Nuclear Power Engineer
86,Extended,Plymouth,Vilque Chico,switch,5.58,Peru,-15.2159658,-69.6892254,General Manager
87,application,Mitsubishi,Osasco,jcb,0.3.1,Brazil,-23.534948,-46.7737972,Assistant Media Planner
88,Up-sized,BMW,Kula,mastercard,5.3,Bulgaria,43.8564397,22.5188282,Quality Engineer
89,solution-oriented,Porsche,Wschowa,jcb,0.69,Poland,51.8071084,16.3164767,Sales Representative
90,strategy,Mitsubishi,Tocoa,maestro,0.14,Honduras,15.6576354,-85.9968479,Internal Auditor
91,tertiary,Ford,Shixi,jcb,5.6,China,28.438851,120.564983,Biostatistician I
92,local,Dodge,Abreus,jcb,1.0.2,Cuba,22.2795961,-80.5716199,VP Sales
93,high-level,Chevrolet,Rio das Ostras,maestro,0.7.7,Brazil,-22.4206096,-41.8625084,Quality Engineer
94,instruction set,Chevrolet,Sandaohezi,switch,4.02,China,44.335532,85.625121,Assistant Manager
95,Front-line,Audi,Mingyu,jcb,7.99,China,30.715704,104.02753,Account Coordinator
96,Cross-platform,Buick,Port-Vila,china-unionpay,8.4,Vanuatu,-17.7332512,168.3273245,Marketing Manager
97,infrastructure,Mazda,Scarborough,jcb,7.92,Trinidad and Tobago,11.1869803,-60.7301511,Account Executive
98,radical,Ram,Tan-Tan,china-unionpay,3.9.0,Morocco,28.4380408,-11.0987374,Payment Adjustment Coordinator
99,system-worthy,MINI,Portela,bankcard,0.16,Portugal,40.2553096,-8.5929199,Paralegal
100,Down-sized,Cadillac,Corral de Bustos,jcb,8.3.9,Argentina,-34.7415815,-58.4614889,Librarian
101,Object-based,Kia,Siayan,bankcard,3.2.0,Philippines,8.2608053,123.0748243,Office Assistant I
102,multi-state,Toyota,Ortega,jcb,6.5.6,Colombia,3.8366437,-75.2245693,Operator
103,service-desk,Dodge,Rivadavia,maestro,0.99,Argentina,-34.610303,-58.410092,Research Assistant III
104,multi-state,Pontiac,Santa Teresa,mastercard,0.6.1,Philippines,14.5999366,121.012518,Food Chemist
105,full-range,GMC,Lac-Brome,china-unionpay,4.29,Canada,45.21678,-72.51581,Structural Engineer
106,archive,Mazda,Ashikaga,jcb,2.6.0,Japan,36.2761885,139.5356365,Marketing Manager
107,optimal,Mercury,North Cowichan,diners-club-carte-blanche,4.1,Canada,48.8428574,-123.7044012,Technical Writer
108,moratorium,Toyota,Zudun,jcb,1.6,China,27.648891,118.698821,Cost Accountant
109,Multi-tiered,Audi,Vista Hermosa,jcb,0.62,Mexico,17.7855637,-99.9792312,Environmental Tech
110,zero administration,Lamborghini,Xingxi,china-unionpay,9.57,China,30.7016468,104.0663422,Graphic Designer
111,Sharable,Infiniti,Pogonsili,americanexpress,2.2,Philippines,15.8229771,120.2604675,GIS Technical Architect
112,Progressive,Nissan,Lyubim,jcb,0.63,Russia,58.3605655,40.6845699,Information Systems Manager
113,process improvement,Chrysler,Jiaoxie,mastercard,7.87,China,22.705124,113.316811,Marketing Assistant
114,solution-oriented,Mitsubishi,Yamethin,jcb,9.2.6,Myanmar,20.4314732,96.1367935,Assistant Professor
115,Fully-configurable,Toyota,Tandayag,jcb,2.6,Philippines,9.442426,123.236968,Account Executive
116,Reverse-engineered,Porsche,Karvia,visa-electron,0.2.3,Finland,62.1331515,22.55812,Legal Assistant
117,forecast,Chevrolet,San Miguel,jcb,9.51,Costa Rica,9.8741891,-84.0605696,Chief Design Engineer
118,asymmetric,Toyota,Bazzāryah,mastercard,0.34,Palestinian Territory,32.30798,35.16593,Account Coordinator
119,Monitored,Ford,Moratuwa,jcb,0.9.5,Sri Lanka,6.7954977,79.8746207,Graphic Designer
120,hybrid,Toyota,Haruai,mastercard,3.2,Indonesia,-2.0242564,115.5444231,Cost Accountant
121,Re-engineered,BMW,Petropavlivka,laser,4.30,Ukraine,48.4187171,36.429969,Clinical Specialist
122,Grass-roots,Maserati,San Andres,jcb,3.35,Philippines,14.4693883,121.0059518,Accounting Assistant IV
123,Advanced,Acura,Onguday,diners-club-international,2.6,Russia,50.75425,86.13414,Recruiter
124,Operative,Buick,Hewan,jcb,0.37,China,30.987762,118.371345,Legal Assistant
125,Reduced,Mitsubishi,Fale old settlement,jcb,0.4.4,Tokelau,-9.38516,-171.24675,Computer Systems Analyst I
126,Ameliorated,Mercedes-Benz,Hakui,diners-club-enroute,0.8.6,Japan,36.9382393,136.8170714,Assistant Manager
127,bandwidth-monitored,Oldsmobile,Krasnyy Yar,diners-club-enroute,8.6,Russia,55.2402058,72.9177892,Technical Writer
128,encryption,Dodge,Santa Inês,jcb,7.76,Brazil,-22.6926814,-51.9051241,Project Manager
129,coherent,Lotus,Pančevo,jcb,0.92,Serbia,44.874,20.6475673,Associate Professor
130,De-engineered,Cadillac,Tabatinga,americanexpress,3.9,Brazil,-21.7414439,-48.6891129,GIS Technical Architect
131,benchmark,Mercedes-Benz,Yinhedahan’er,jcb,0.34,China,48.0288905,123.0199373,Programmer I
132,attitude-oriented,Honda,Douz,diners-club-carte-blanche,3.9.2,Tunisia,33.4614354,9.0294708,Senior Sales Associate
133,motivating,Aston Martin,Yangmiao,visa-electron,4.1.3,China,33.2991249,117.2408191,Marketing Manager
134,contingency,Isuzu,Puqi,mastercard,0.52,China,29.724692,113.900628,Administrative Assistant III
135,Virtual,GMC,Penedono,jcb,6.5.3,Portugal,40.9903208,-7.3943499,Recruiter
136,protocol,Chevrolet,Xiaochuan,switch,0.55,China,52.54952,13.35118,Project Manager
137,static,Chevrolet,Kaduela,jcb,8.3,Indonesia,-6.7917815,108.4187029,Senior Cost Accountant
138,6th generation,Land Rover,Chaoyang,mastercard,3.4,China,41.57365,120.4493879,Cost Accountant
139,neural-net,Acura,Kosan,jcb,5.34,North Korea,38.8559689,127.4214244,Engineer IV
140,toolset,Lexus,Golovchino,jcb,7.19,Russia,50.5787435,35.7888187,Account Coordinator
141,matrix,Nissan,Sukogunungkrajan,laser,2.53,Indonesia,-6.9399,111.595,Librarian
142,real-time,Chevrolet,Kashima-shi,jcb,4.1.0,Japan,35.9924294,140.6177909,Account Representative IV
143,directional,Kia,Ełk,jcb,0.9.4,Poland,53.8249945,22.3619798,Systems Administrator I
144,leading edge,Toyota,Capim Grosso,jcb,1.2.6,Brazil,-11.3801768,-40.0068953,Safety Technician I
145,info-mediaries,Dodge,Sernancelhe,instapayment,4.62,Portugal,40.8998417,-7.4900188,Product Engineer
146,utilisation,Pontiac,Loen,visa,8.2.5,Marshall Islands,40.752984,-73.9145038,Environmental Specialist
147,Versatile,Dodge,Pop Shahri,jcb,0.70,Uzbekistan,40.87642,71.1022,Analog Circuit Design manager
148,Streamlined,Mitsubishi,Majiadu,jcb,4.1.8,China,30.953479,117.674739,Payment Adjustment Coordinator
149,Sharable,Dodge,Wangchang,jcb,7.7,China,40.401045,117.998902,Staff Scientist
150,Centralized,Lincoln,Lomba,jcb,1.9,Portugal,40.862786,-8.4731932,Product Engineer
151,disintermediate,Honda,Budy,americanexpress,8.73,Ukraine,49.8932741,36.011984,Budget/Accounting Analyst II
152,hierarchy,Plymouth,Far‘ūn,visa-electron,7.9,Palestinian Territory,32.28548,35.021481,Business Systems Development Analyst
153,challenge,GMC,Anuchino,jcb,6.6.0,Russia,43.9676803,133.0547021,Quality Control Specialist
154,Monitored,Audi,Kansas City,jcb,5.3,United States,39.1070379,-94.4928531,Sales Representative
155,core,GMC,Fargo,jcb,8.49,United States,46.8843099,-96.7847834,Recruiting Manager
156,stable,Infiniti,Pore,diners-club-enroute,5.6,Colombia,5.7265629,-71.993941,Physical Therapy Assistant
157,software,Buick,Haebaru,jcb,0.2.6,Japan,26.3358903,127.875104,Administrative Officer
158,algorithm,Ford,Albufeira,jcb,7.59,Portugal,37.0939437,-8.2461254,Developer I
159,time-frame,Ford,Udënisht,switch,4.7.5,Albania,40.9629693,20.6377502,Computer Systems Analyst I
160,functionalities,Chevrolet,Gritsovskiy,jcb,0.68,Russia,54.1349846,38.1596549,Chief Design Engineer
161,Assimilated,Kia,Khawrah,visa-electron,0.23,Yemen,14.43201,46.15435,Web Developer III
162,solution,Pontiac,Tim,jcb,3.6.4,Russia,55.796264,37.719368,General Manager
163,demand-driven,Dodge,Jeżów,mastercard,6.2.1,Poland,51.8135681,19.9684918,Tax Accountant
164,Synergized,Chevrolet,Videira,jcb,4.3.6,Brazil,-27.0052075,-51.154395,Social Worker
165,Organized,Audi,Paulínia,maestro,1.18,Brazil,-22.7712817,-47.156739,Nurse
166,Graphic Interface,Acura,Antsohihy,mastercard,2.2.5,Madagascar,-14.8851268,47.9960743,Statistician IV
167,fault-tolerant,Toyota,Warungsugan,jcb,6.4,Indonesia,-6.5930581,105.977608,Financial Advisor
168,Cross-platform,Mazda,Krajan Langenharjo,jcb,7.7.0,Indonesia,-7.6184408,110.8072159,Administrative Officer
169,utilisation,GMC,Currais Novos,maestro,0.9.7,Brazil,-6.238218,-36.4797126,VP Accounting
170,Reactive,Suzuki,Temirgoyevskaya,mastercard,8.31,Russia,45.1099574,40.2950699,Structural Analysis Engineer
171,Profound,Dodge,Zhize,jcb,9.2.6,China,30.022669,101.545865,Geological Engineer
172,Team-oriented,Cadillac,Kesheng,jcb,0.4.3,China,23.382145,109.56259,Biostatistician III
173,conglomeration,Isuzu,Awgu,mastercard,0.5.1,Nigeria,6.0639962,7.4760047,Programmer III
174,explicit,Cadillac,Seraya,jcb,0.47,Indonesia,-8.412098,119.866554,Electrical Engineer
175,throughput,Honda,Gonghe,mastercard,7.8.0,China,36.284107,100.620031,Senior Quality Engineer
176,holistic,Buick,Pingshan,switch,0.18,China,22.691253,114.346251,Systems Administrator II
177,user-facing,Plymouth,Nangkasari,switch,0.97,Indonesia,-6.3865373,107.4010519,Professor
178,Decentralized,Chrysler,Seleuš,maestro,1.23,Serbia,45.1201746,20.8993932,Environmental Specialist
179,knowledge base,Cadillac,São Pedro de Trafaria,maestro,4.4.8,Portugal,38.6690462,-9.2412678,Junior Executive
180,Organic,Toyota,Miyang,jcb,4.4.7,China,21.428436,110.869567,Recruiting Manager
181,zero administration,Nissan,Sirindhorn,mastercard,0.30,Thailand,13.7850134,100.4959857,Environmental Specialist
182,6th generation,Lincoln,Jāmpur,jcb,5.95,Pakistan,29.5945152,70.6008375,Structural Analysis Engineer
183,Multi-lateral,Subaru,Öldziyt,jcb,2.1.1,Mongolia,48.1030253,102.5606182,Senior Editor
184,analyzing,Lexus,Jiaoba,visa,0.56,China,28.801077,108.102703,Legal Assistant
185,foreground,Plymouth,Paccho,jcb,0.2.6,Peru,-10.9564306,-76.933337,Sales Associate
186,User-friendly,GMC,Ikaalinen,jcb,5.2.7,Finland,61.7644425,23.0729829,Physical Therapy Assistant
187,Phased,Isuzu,Mogzon,americanexpress,0.8.7,Russia,51.7419091,111.9603596,VP Marketing
188,concept,Buick,Beicheng,jcb,9.63,China,39.224791,117.135488,Software Consultant
189,Virtual,Hyundai,Daba,jcb,0.64,China,32.165,108.8822222,Executive Secretary
190,responsive,Chevrolet,Moshkovo,jcb,0.8.4,Russia,55.3040194,83.6056675,Automation Specialist I
191,circuit,Audi,Jiepai,mastercard,0.29,China,30.911728,119.552359,Environmental Tech
192,didactic,Chevrolet,Mataguži,jcb,7.4,Montenegro,42.3248168,19.2801794,Clinical Specialist
193,attitude-oriented,Mitsubishi,Kuruman,mastercard,8.90,South Africa,-33.9905526,18.666796,VP Accounting
194,dynamic,Lexus,Ylöjärvi,visa-electron,6.30,Finland,61.549558,23.5960975,Nuclear Power Engineer
195,alliance,Dodge,Yanglinshi,mastercard,8.92,China,29.978663,111.782745,Business Systems Development Analyst
196,local,Oldsmobile,Kafir Yasif,maestro,8.95,Israel,32.9520318,35.1599957,Sales Representative
197,framework,Chevrolet,Kingston,china-unionpay,0.33,Canada,45.4136084,-66.0783767,General Manager
198,Synergized,Acura,Halamendu,laser,0.85,China,40.991594,110.722523,Food Chemist
199,24 hour,Buick,Marelesu,visa-electron,0.8.2,China,46.5067026,83.6616699,Office Assistant III
200,success,Honda,Kanada,instapayment,5.50,Indonesia,-6.2151565,106.8203259,Nurse
201,Object-based,Ford,Strassen,maestro,9.5,Luxembourg,49.6109539,6.0689379,Health Coach IV
202,national,Pontiac,Três Corações,visa,2.42,Brazil,-21.692578,-45.2515461,Analyst Programmer
